City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
1,Vaini,TO,77.16,light intensity drizzle,-21.2,-175.2,Keleti Beach Resort
2,Karratha,AU,84.61,clear sky,-20.7377,116.8463,ibis Styles Karratha
5,Porto Novo,BJ,89.42,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
8,San Patricio,US,76.87,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
10,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
18,Rikitea,PF,78.91,light rain,-23.1203,-134.9692,People ThankYou
19,Coahuayana,MX,86.47,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
23,Barranco,PA,84.13,overcast clouds,9.5167,-82.7,Casa doña Delfina Jiménez
24,Kavieng,PG,82.09,clear sky,-2.5744,150.7967,Nusa Island Retreat
31,Sibolga,ID,76.84,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
41,San Rafael Del Sur,NI,83.37,few clouds,11.8485,-86.4384,Hospedaje El Chino
45,Eyl,SO,82.76,clear sky,7.9803,49.8164,Amiin Hotel
48,Avarua,CK,75.25,overcast clouds,-21.2078,-159.775,Paradise Inn
54,Srivardhan,IN,81.88,few clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
56,Akim Swedru,GH,88.81,overcast clouds,5.8938,-1.0164,Green Pearls Inn
57,Port Elizabeth,ZA,78.1,clear sky,-33.918,25.5701,39 On Nile Guest House
62,Sao Joao Da Barra,BR,84.29,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
65,Dickinson,US,76.15,mist,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
70,Namibe,AO,79.43,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
72,Cape Town,ZA,82.81,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
73,Tefe,BR,86.11,few clouds,-3.3542,-64.7114,Aracati Hotel
77,Touros,BR,87.76,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
81,Atuona,PF,78.87,few clouds,-9.8,-139.0333,Villa Enata
89,Chiang Mai,TH,87.06,few clouds,18.75,99.0,"Holiday Inn Chiangmai, an IHG Hotel"
90,Talara,PE,75.96,clear sky,-4.5772,-81.2719,Hostal Oro Negro
91,Hermanus,ZA,81.81,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
97,Castro,BR,77.05,moderate rain,-24.7911,-50.0119,CHACARA BAILLY
101,Vao,NC,76.08,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
102,Tiarei,PF,75.22,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
103,Bandarbeyla,SO,82.58,clear sky,9.4942,50.8122,JABIR HOTEL
104,Port Moresby,PG,76.42,few clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
105,Manaus,BR,82.9,broken clouds,-3.1019,-60.025,Manaus Hotéis Millennium
107,Butaritari,KI,79.63,light rain,3.0707,172.7902,Isles Sunset Lodge
111,Finschhafen,PG,79.88,scattered clouds,-6.6024,147.8681,Cossam Guest House
118,Zhicheng,CN,75.25,clear sky,30.2956,111.5047,Wangjiang Building
126,Mbalmayo,CM,80.92,light rain,3.5167,11.5,Hôtel les Nouveaux Jardins Des Tropiques
128,Ducheng,CN,76.37,clear sky,23.2373,111.5317,Xinyongguang Hotel
129,Buique,BR,88.12,scattered clouds,-8.6231,-37.1558,Pousada Santos
130,Saurimo,AO,84.52,broken clouds,-9.6608,20.3916,Hotel Kawissa Saurimo
132,Santa Luzia,BR,84.34,broken clouds,-19.7697,-43.8514,Pousada Chao Earth
