City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description,Date
0,Hilo,19.7297,-155.09,71.33,88,100,3.44,US,overcast clouds,2022-04-11 14:52:16
1,Vaini,-21.2,-175.2,77.16,94,75,8.05,TO,light intensity drizzle,2022-04-11 14:52:35
2,Karratha,-20.7377,116.8463,84.61,28,2,12.66,AU,clear sky,2022-04-11 14:52:35
3,Airai,-8.9266,125.4092,59.95,64,100,1.86,TL,overcast clouds,2022-04-11 14:51:36
4,Busselton,-33.65,115.3333,58.78,79,7,10.76,AU,clear sky,2022-04-11 14:52:36
5,Porto Novo,6.4965,2.6036,89.42,55,94,10.83,BJ,overcast clouds,2022-04-11 14:52:36
6,Yonibana,8.4447,-12.245,104.61,29,94,1.23,SL,overcast clouds,2022-04-11 14:52:37
7,Sun City West,33.662,-112.3413,72.23,45,0,4.0,US,clear sky,2022-04-11 14:51:00
8,San Patricio,28.017,-97.5169,76.87,74,100,18.23,US,overcast clouds,2022-04-11 14:52:37
9,Dikson,73.5069,80.5464,0.66,92,90,8.57,RU,overcast clouds,2022-04-11 14:47:59
10,Georgetown,5.4112,100.3354,82.33,83,20,2.3,MY,few clouds,2022-04-11 14:52:38
11,Zlatibor,43.7168,19.7,42.35,43,73,8.77,RS,broken clouds,2022-04-11 14:52:38
12,Mataura,-46.1927,168.8643,50.49,99,100,3.06,NZ,light rain,2022-04-11 14:47:46
13,Baykit,61.67,96.37,14.29,95,66,3.89,RU,broken clouds,2022-04-11 14:52:39
14,Albany,42.6001,-73.9662,47.75,48,0,3.49,US,clear sky,2022-04-11 14:52:39
15,Port Alfred,-33.5906,26.891,71.19,79,100,8.01,ZA,overcast clouds,2022-04-11 14:52:39
16,Punta Arenas,-53.15,-70.9167,44.62,93,97,19.15,CL,overcast clouds,2022-04-11 14:52:25
17,Aleppo,36.25,37.5,66.31,36,4,25.59,SY,clear sky,2022-04-11 14:52:40
18,Rikitea,-23.1203,-134.9692,78.91,73,2,19.39,PF,light rain,2022-04-11 14:52:40
19,Coahuayana,18.7333,-103.6833,86.47,45,22,2.15,MX,few clouds,2022-04-11 14:52:41
20,Hobart,-42.8794,147.3294,52.23,78,75,11.5,AU,broken clouds,2022-04-11 14:52:41
21,Sikasso,10.9167,-7.0,102.92,21,38,1.39,ML,scattered clouds,2022-04-11 14:52:41
22,Baglung,28.2719,83.5898,69.89,62,15,3.13,NP,few clouds,2022-04-11 14:52:42
23,Barranco,9.5167,-82.7,84.13,59,85,1.88,PA,overcast clouds,2022-04-11 14:52:42
24,Kavieng,-2.5744,150.7967,82.09,76,8,12.37,PG,clear sky,2022-04-11 14:52:43
