City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cocachacra,PE,2022-04-04 21:26:29,-17.0883,-71.7575,71.85,72,46,6.22
1,Tasiilaq,GL,2022-04-04 21:26:29,65.6145,-37.6368,17.76,93,99,9.13
2,Jamestown,US,2022-04-04 21:24:25,42.097,-79.2353,45.01,50,75,5.75
3,Busselton,AU,2022-04-04 21:26:30,-33.65,115.3333,52.02,82,0,9.01
4,Lompoc,US,2022-04-04 21:26:30,34.6391,-120.4579,79.84,55,0,24.0
5,Ushuaia,AR,2022-04-04 21:26:31,-54.8,-68.3,38.86,75,40,25.32
6,Rikitea,PF,2022-04-04 21:26:31,-23.1203,-134.9692,78.19,60,6,12.46
7,Tuktoyaktuk,CA,2022-04-04 21:26:31,69.4541,-133.0374,-14.8,76,75,6.91
8,Ayan,RU,2022-04-04 21:23:04,56.45,138.1667,25.25,62,1,14.14
9,Kijang,KR,2022-04-04 21:26:32,35.2442,129.2139,44.33,60,59,5.7
10,Lebu,CL,2022-04-04 21:26:32,-37.6167,-73.65,57.61,74,42,17.0
11,Kautokeino,NO,2022-04-04 21:26:32,69.0125,23.0412,14.61,96,97,10.13
12,Butaritari,KI,2022-04-04 21:26:33,3.0707,172.7902,81.68,79,30,14.09
13,Mahajanga,MG,2022-04-04 21:26:33,-15.7167,46.3167,77.02,94,20,1.14
14,Isangel,VU,2022-04-04 21:26:33,-19.55,169.2667,81.28,80,99,6.51
15,Mandera,KE,2022-04-04 21:26:34,3.9366,41.867,89.98,39,64,18.79
16,Mareeba,AU,2022-04-04 21:26:34,-17.0,145.4333,72.45,95,38,1.36
17,Kaitangata,NZ,2022-04-04 21:26:34,-46.2817,169.8464,57.61,77,100,3.33
18,Cape Town,ZA,2022-04-04 21:26:35,-33.9258,18.4232,62.11,88,75,11.5
19,Barrow,US,2022-04-04 21:26:35,71.2906,-156.7887,-5.78,71,100,17.27
20,Puerto Ayora,EC,2022-04-04 21:26:36,-0.7393,-90.3518,82.54,88,64,3.0
21,Kapaa,US,2022-04-04 21:26:36,22.0752,-159.319,79.2,72,40,16.11
22,Williams Lake,CA,2022-04-04 21:26:27,52.1415,-122.1445,47.77,29,75,9.22
23,Saskylakh,RU,2022-04-04 21:26:36,71.9167,114.0833,-6.63,98,100,7.83
24,Saint-Philippe,RE,2022-04-04 21:26:37,-21.3585,55.7679,75.22,86,90,11.9
25,Port Hedland,AU,2022-04-04 21:26:37,-20.3167,118.5667,77.05,88,1,6.91
26,Champerico,GT,2022-04-04 21:26:38,14.3,-91.9167,97.34,62,2,12.57
27,Lyubinskiy,RU,2022-04-04 21:26:38,55.1542,72.6925,42.48,80,100,12.59
28,Albany,US,2022-04-04 21:25:57,42.6001,-73.9662,50.45,48,100,5.99
29,Victoria,HK,2022-04-04 21:26:38,22.2855,114.1577,68.95,67,48,10.0
30,Sinjar,IQ,2022-04-04 21:26:39,36.3209,41.8754,65.5,37,99,7.52
31,Mpulungu,ZM,2022-04-04 21:26:39,-8.7623,31.1141,71.73,83,100,7.27
32,Georgetown,MY,2022-04-04 21:25:59,5.4112,100.3354,78.73,92,20,8.05
33,Ribeira Grande,PT,2022-04-04 21:26:40,38.5167,-28.7,60.53,72,100,6.42
34,Imeni Poliny Osipenko,RU,2022-04-04 21:26:40,52.4201,136.4853,25.74,79,100,1.79
35,Portree,GB,2022-04-04 21:26:40,57.4129,-6.1942,42.53,97,100,2.19
36,Ponta Do Sol,PT,2022-04-04 21:26:41,32.6667,-17.1,57.83,71,48,12.37
37,Arraial Do Cabo,BR,2022-04-04 21:21:46,-22.9661,-42.0278,78.76,83,0,10.36
38,Kruisfontein,ZA,2022-04-04 21:26:41,-34.0033,24.7314,59.88,74,0,13.94
39,Gizo,SB,2022-04-04 21:26:42,-8.103,156.8419,82.0,81,100,12.33
40,Am Timan,TD,2022-04-04 21:26:42,11.0297,20.2827,94.93,26,96,7.34
41,Hobart,AU,2022-04-04 21:26:43,-42.8794,147.3294,55.26,78,75,14.97
42,Zhangye,CN,2022-04-04 21:26:43,38.9342,100.4517,47.5,22,0,5.48
43,Cherskiy,RU,2022-04-04 21:23:02,68.75,161.3,-11.74,95,70,1.88
44,Port Alfred,ZA,2022-04-04 21:26:43,-33.5906,26.891,59.18,90,0,10.29
45,Cabo San Lucas,MX,2022-04-04 21:27:20,22.8909,-109.9124,78.62,59,0,9.22
46,Virginia Beach,US,2022-04-04 21:23:25,36.8529,-75.978,61.05,53,40,11.5
47,Torbay,CA,2022-04-04 21:27:44,47.6666,-52.7314,40.28,85,100,16.11
48,Vaini,TO,2022-04-04 21:27:44,-21.2,-175.2,75.36,88,75,9.22
49,Komsomolskiy,UZ,2022-04-04 21:27:45,40.4272,71.7189,59.72,55,0,6.91
50,Katsuura,JP,2022-04-04 21:27:45,35.1333,140.3,50.65,90,100,26.6
51,Dingle,PH,2022-04-04 21:27:45,10.9995,122.6711,76.19,90,100,7.56
52,Dikson,RU,2022-04-04 21:27:46,73.5069,80.5464,-0.72,92,55,9.75
53,Vostok,RU,2022-04-04 21:27:46,46.4856,135.8833,31.86,84,96,5.77
54,Requena,ES,2022-04-04 21:24:55,39.4883,-1.1004,41.52,85,88,12.91
55,Bluff,NZ,2022-04-04 21:27:47,-46.6,168.3333,56.46,79,100,7.4
56,Mataura,NZ,2022-04-04 21:27:47,-46.1927,168.8643,57.18,70,100,2.66
57,Tautira,PF,2022-04-04 21:27:48,-17.7333,-149.15,81.95,79,75,15.08
58,Waipawa,NZ,2022-04-04 21:26:39,-41.4122,175.5153,60.13,78,96,7.96
59,Padang,ID,2022-04-04 21:27:48,-0.9492,100.3543,78.1,74,100,2.89
60,Faanui,PF,2022-04-04 21:24:12,-16.4833,-151.75,82.85,72,17,17.49
61,Lebork,PL,2022-04-04 21:27:48,54.5392,17.7501,37.92,95,100,23.24
62,Kampot,KH,2022-04-04 21:27:49,10.6167,104.1833,80.65,74,80,8.84
63,Estelle,US,2022-04-04 21:27:49,29.8458,-90.1067,80.6,60,40,16.11
64,Ascension,US,2022-04-04 21:27:50,30.2169,-90.9001,84.06,64,40,9.22
65,Nome,US,2022-04-04 21:27:50,64.5011,-165.4064,17.67,49,0,11.5
66,Sur,OM,2022-04-04 21:27:50,22.5667,59.5289,80.76,53,2,13.11
67,Jumla,NP,2022-04-04 21:27:51,29.2747,82.1838,47.07,37,2,5.35
68,Meulaboh,ID,2022-04-04 21:27:51,4.1363,96.1285,75.97,86,100,2.53
69,Ilulissat,GL,2022-04-04 21:27:51,69.2167,-51.1,37.42,52,40,0.0
70,Egvekinot,RU,2022-04-04 21:27:52,66.3167,-179.1667,-10.28,85,16,18.57
71,Provideniya,RU,2022-04-04 21:27:52,64.3833,-173.3,8.71,66,0,25.01
72,Suez,EG,2022-04-04 21:27:53,29.9737,32.5263,71.98,29,6,10.16
73,Sinazongwe,ZM,2022-04-04 21:27:53,-17.2614,27.4618,73.74,85,66,5.57
74,Itaituba,BR,2022-04-04 21:27:53,-4.2761,-55.9836,86.16,79,20,4.61
75,Mayo,US,2022-04-04 21:27:54,38.8876,-76.5119,57.25,48,75,8.05
76,Rudbar,AF,2022-04-04 21:27:54,30.15,62.6,77.95,10,0,5.61
77,Mumford,GH,2022-04-04 21:27:54,5.2618,-0.759,81.91,84,50,13.4
78,Pierre,US,2022-04-04 21:27:55,44.3683,-100.351,69.28,25,0,21.85
79,Lander,US,2022-04-04 21:26:15,42.833,-108.7307,57.6,30,20,35.79
80,Kodinsk,RU,2022-04-04 21:27:55,58.6881,99.1844,3.81,98,90,3.96
81,Kodiak,US,2022-04-04 21:23:00,57.79,-152.4072,38.71,52,0,14.97
82,Gat,IL,2022-04-04 21:25:01,31.61,34.7642,63.81,37,15,6.91
83,Punta Arenas,CL,2022-04-04 21:27:56,-53.15,-70.9167,39.31,75,20,24.16
84,Bengkulu,ID,2022-04-04 21:27:56,-3.8004,102.2655,75.61,84,73,4.76
85,Marawi,PH,2022-04-04 21:27:56,7.9986,124.2928,68.67,95,100,1.3
86,Maragogi,BR,2022-04-04 21:23:03,-9.0122,-35.2225,78.6,77,13,6.31
87,Tarko-Sale,RU,2022-04-04 21:27:57,64.9225,77.785,33.91,100,100,14.2
88,Malindi,KE,2022-04-04 21:27:57,-3.2175,40.1191,81.68,80,4,9.82
89,Beringovskiy,RU,2022-04-04 21:26:38,63.05,179.3167,-3.26,80,92,16.49
90,Codrington,AU,2022-04-04 21:27:58,-38.2667,141.9667,51.08,87,100,3.69
91,Tallahassee,US,2022-04-04 21:23:40,30.4383,-84.2807,82.99,37,40,11.5
92,Gushikawa,JP,2022-04-04 21:28:58,26.3544,127.8686,63.63,81,75,6.91
93,Veraval,IN,2022-04-04 21:28:59,20.9,70.3667,78.57,70,2,15.14
94,Oranjemund,NA,2022-04-04 21:28:59,-28.55,16.4333,60.12,88,0,3.91
95,Lagoa,PT,2022-04-04 21:29:00,39.05,-27.9833,59.05,69,100,6.33
96,Port Elizabeth,ZA,2022-04-04 21:28:47,-33.918,25.5701,62.1,81,0,8.05
97,Petropavlovsk-Kamchatskiy,RU,2022-04-04 21:29:00,53.0452,158.6483,23.59,68,0,6.71
98,Shakiso,ET,2022-04-04 21:29:00,5.75,38.9167,61.65,55,53,3.94
99,Norman Wells,CA,2022-04-04 21:29:01,65.282,-126.8329,1.44,55,40,6.91
100,Qaanaaq,GL,2022-04-04 21:29:01,77.484,-69.3632,23.41,74,100,7.16
101,Pacific Grove,US,2022-04-04 21:26:41,36.6177,-121.9166,69.48,72,0,8.05
102,Beloha,MG,2022-04-04 21:29:02,-25.1667,45.05,73.22,86,0,10.13
103,Itarema,BR,2022-04-04 21:29:02,-2.9248,-39.9167,78.48,86,81,9.62
104,Souillac,MU,2022-04-04 21:29:02,-20.5167,57.5167,79.18,89,75,9.22
105,Axim,GH,2022-04-04 21:29:03,4.8699,-2.2405,81.81,82,96,10.04
106,Ostrovnoy,RU,2022-04-04 21:29:03,68.0531,39.5131,14.83,91,90,9.98
107,Vanimo,PG,2022-04-04 21:29:04,-2.6741,141.3028,77.04,89,100,5.21
108,Carnarvon,AU,2022-04-04 21:29:04,-24.8667,113.6333,69.87,88,0,11.5
109,Puerto Escondido,MX,2022-04-04 21:29:04,15.85,-97.0667,86.68,53,0,12.28
110,Yeppoon,AU,2022-04-04 21:29:05,-23.1333,150.7333,71.38,83,59,8.37
111,Ahipara,NZ,2022-04-04 21:29:05,-35.1667,173.1667,68.25,83,89,6.49
112,Hermanus,ZA,2022-04-04 21:29:05,-34.4187,19.2345,62.11,83,11,11.81
113,Grand Gaube,MU,2022-04-04 21:29:06,-20.0064,57.6608,79.38,84,100,4.0
114,Sitka,US,2022-04-04 21:29:06,57.0531,-135.33,42.69,75,20,10.36
115,Vila Franca Do Campo,PT,2022-04-04 21:29:06,37.7167,-25.4333,55.81,67,92,4.56
116,Pevek,RU,2022-04-04 21:29:07,69.7008,170.3133,-16.89,96,32,3.53
117,Eureka,US,2022-04-04 21:28:08,40.8021,-124.1637,56.68,94,100,4.0
118,Pisco,PE,2022-04-04 21:24:54,-13.7,-76.2167,73.45,68,0,9.22
119,Bredasdorp,ZA,2022-04-04 21:29:08,-34.5322,20.0403,62.37,75,9,11.14
120,Clyde River,CA,2022-04-04 21:29:08,70.4692,-68.5914,12.43,92,20,2.3
121,Nushki,PK,2022-04-04 21:29:08,29.5542,66.0215,74.55,10,13,6.49
122,Atuona,PF,2022-04-04 21:29:09,-9.8,-139.0333,79.68,75,10,22.84
